Loharano,Faritra,Daty,Tily ara-potoana,Tilytot tvm,Tilyvoatomb,Tily,Voa,Voatomb,Voavao tvm,Tsyvoa,Tsyvoatomb,Tilym,Voareh ilain,Voareh tvm,Sitranreh ilain,Sitranreh tvm,Sitranvao tvm,Nodimandry vao,Nodimandry reh,Tahatsv,Tahasitr
CCO,Madagasikara,2020-3-18,,,36,36,0,0,,36,36,36,0,,0,0,,,,1,
CCO,Madagasikara,2020-3-19,,,48,48,3,3,,45,45,43,3,,0,0,,,,0.9375,
CCO,Madagasikara,2020-3-20,,,127,127,2,2,,125,125,127,5,,0,0,,,,0.9843,
CCO,Madagasikara,2020-3-21,,,69,69,10,10,,59,59,69,15,,0,0,,,,0.8551,
CCO,Madagasikara,2020-3-22,,,125,125,1,1,,124,124,125,16,,0,0,,,,0.992,
CCO,Madagasikara,2020-3-23,,,123,123,3,3,,120,120,123,19,,0,0,,,,0.9756,
CCO,Madagasikara,2020-3-24,,,78,78,0,0,2,78,78,78,19,17,0,0,,,,1,0.0000
CCO,Madagasikara,2020-3-25,,,120,120,5,5,2,115,115,120,24,19,0,0,,,,0.9583,0.0000
CCO,Madagasikara,2020-3-26,,,163,163,2,2,5,161,161,163,26,21,0,0,,,,0.9877,0.0000
CCO,Madagasikara,2020-3-27,,,71,71,16,16,5,55,55,71,42,26,0,0,,,,0.7746,0.0000
CCO,Madagasikara,2020-3-28,,,201,201,9,9,2,192,192,201,51,28,0,0,,,,0.9552,0.0000
CCO,Madagasikara,2020-3-29,,,127,127,2,2,15,125,125,127,53,43,0,0,,,,0.9843,0.0000
CCO,Madagasikara,2020-3-30,,,97,97,2,2,0,95,95,97,55,43,0,0,,,,0.9794,0.0000
CCO,Madagasikara,2020-3-31,,,112,112,1,1,7,111,111,112,56,50,0,0,,,,0.9911,0.0000
CCO,Madagasikara,2020-4-01,,,143,143,3,3,4,140,140,143,59,54,0,0,,,,0.979,0.0000
CCO,Madagasikara,2020-4-02,,,24,24,6,6,5,18,18,24,65,59,0,0,,,,0.75,0.0000
CCO,Madagasikara,2020-4-03,,,42,42,5,5,6,37,37,42,70,65,1,,,,,0.881,0.0000
CCO,Madagasikara,2020-4-04,,,48,48,1,1,6,47,47,48,71,71,3,,,,,0.9792,0.0000
CCO,Madagasikara,2020-4-05,,,55,55,6,6,1,49,49,55,77,72,3,2,,,,0.8909,0.0278
CCO,Madagasikara,2020-4-06,,,49,49,8,8,10,41,41,49,85,82,5,2,0,,,0.8367,0.0244
CCO,Madagasikara,2020-4-07,,,50,50,7,7,6,43,43,50,92,88,8,7,5,,,0.86,0.0795
CCO,Madagasikara,2020-4-08,,,32,32,2,2,5,30,30,32,94,93,9,11,4,,,0.9375,0.1183
CCO,Madagasikara,2020-4-09,,,112,112,1,1,0,111,111,112,95,93,9,11,0,,,0.9911,0.1183
CCO,Madagasikara,2020-4-10,,,98,98,9,9,9,89,89,98,104,102,11,11,0,,,0.9082,0.1078
CCO,Madagasikara,2020-4-11,,,82,82,1,1,0,81,81,82,105,102,15,12,1,,,0.9878,0.1176
CCO,Madagasikara,2020-4-12,,,17,17,1,1,4,16,16,17,106,106,20,20,8,,,0.9412,0.1887
CCO,Madagasikara,2020-4-13,,,65,65,2,2,0,63,63,65,108,106,23,21,1,,,0.9692,0.1981
CCO,Madagasikara,2020-4-14,,,33,33,2,2,2,31,31,33,110,108,25,23,2,,,0.9394,0.2130
CCO,Madagasikara,2020-4-15,,,54,54,2,2,2,52,52,54,112,110,31,29,6,,,0.963,0.2636
CCO,Madagasikara,2020-4-16,,,53,53,6,6,1,37,37,53,118,111,37,33,4,,,0.6981,0.2973
CCO,Madagasikara,2020-4-17,,,54,54,2,2,6,45,45,54,120,117,37,33,0,,,0.8333,0.2821
CCO,Madagasikara,2020-4-18,,,56,56,1,1,3,47,47,56,121,120,39,35,2,,,0.8393,0.2917
CCO,Madagasikara,2020-4-19,,,102,102,0,0,1,74,74,102,121,121,43,39,4,,,0.7255,0.3223
CCO,Madagasikara,2020-4-20,,,14,14,0,0,0,12,12,14,121,121,47,41,2,,,0.8571,0.3388
CCO,Madagasikara,2020-4-21,,,62,62,0,0,0,53,53,62,121,121,53,44,3,,,0.8548,0.3636
CCO,Madagasikara,2020-4-22,,,26,26,0,0,0,23,23,26,121,121,55,52,8,,,0.8846,0.4298
CCO,Madagasikara,2020-4-23,,,77,77,0,0,0,76,76,77,121,121,62,53,1,,,0.987,0.4380
CCO,Madagasikara,2020-4-24,,,43,43,1,1,1,38,38,43,122,122,65,61,8,,,0.8837,0.5000
FB-TVM,Madagasikara,2020-4-25,,nan,82,,,1,1,,81,,,123,,62,1,,,0.9878,0.5041
FB-TVM,Madagasikara,2020-4-26,,3030,63,,,1,1,,62,,,124,,71,9,,,0.9841,0.5726
FB-TVM,Madagasikara,2020-4-27,,nan,15,nan,,3,3,,12,,,127,,75,4,,,0.8,0.5906
FB-TVM,Madagasikara,2020-4-28,,3065,20,,,0,0,,20,,,128,,82,7,,,1,0.6406
FB-TVM,Madagasikara,2020-4-29,,3107,42,,,0,0,,42,,,128,,90,8,,,1,0.7031
FB-TVM,Madagasikara,2020-4-30,,3228,121,,,0,0,,121,,,128,,92,2,,,1,0.7188
FB-TVM,Madagasikara,2020-5-01,,3300,72,,,4,4,,68,,,132,,94,2,,,0.9444,0.7121
FB-TVM,Madagasikara,2020-5-02,,3393,93,,,3,3,,90,,,135,,97,3,,,0.9677,0.7185
FB-TVM,Madagasikara,2020-5-03,,3611,218,,,14,14,,204,,,149,,98,1,,,0.9358,0.6577
FB-TVM,Madagasikara,2020-5-04,3907,3772,161,,,0,0,,161,,,149,,99,1,,,1,0.6644
FB-TVM,Madagasikara,2020-5-05,,3861,89,,,2,2,,87,,,151,,101,2,,,0.9775,0.6689
FB-TVM,Madagasikara,2020-5-06,3968,3907,46,252,,7,7,,39,,,158,,101,0,,,0.8478,0.6392
FB-TVM,Madagasikara,2020-5-07,,3968,95,,,3,3,,92,,,161,,101,0,,,0.9684,0.6273
FB-TVM,Antananarivo,2020-5-07,,,,,,0,0,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-07,,,,,,3,3,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-08,,,123,,,6,6,,117,,,167,,101,0,,,0.9512,0.6048
FB-TVM,Antananarivo,2020-5-08,,,,,,4,4,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-08,,,,,,2,2,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-09,,,79,,,2,2,,77,,,169,,101,0,,,0.9747,0.5976
FB-TVM,Antananarivo,2020-5-09,,,,,,0,0,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-09,,,,,,0,0,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-09,,,,,,1,1,,,,,,,,,,,,
FB-TVM,Antsirabe,2020-5-09,,,,,,1,1,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-10,,4481,76,76,,2,2,,74,,,171,,104,3,,,0.9737,0.6082
FB-TVM,Antananarivo,2020-5-10,,,60,60,,0,0,,60,,,,,,,,,1,
FB-TVM,Toamasina,2020-5-10,,,16,16,,2,2,,14,,,,,,,,,0.875,
FB-TVM,Madagasikara,2020-5-11,,5465,257,257,,15,15,,242,,,186,,105,1,,,0.9416,0.5645
FB-TVM,Antananarivo,2020-5-11,,,,219,,4,4,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-11,,,,38,,11,11,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-12,,5760,,,,6,6,,,,,192,,105,0,,,,0.5469
FB-TVM,Antananarivo,2020-5-12,,,193,193,193,0,0,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-12,,,20,20,20,6,6,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-13,,5760,,,,20,20,,,,,212,,107,2,,,,0.5047
FB-TVM,Antananarivo,2020-5-13,,,,,,2,2,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-13,,,,,,15,15,,,,,93,,,,,,,0.0000
FB-TVM,Moramanga,2020-5-13,,,,,,3,3,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-14,,,,,,18,18,,,,,230,,108,1,,,,0.4696
FB-TVM,Antananarivo,2020-5-14,,,,,,2,2,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-14,,,,,,5,5,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-14,,,,,,11,11,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-15,,,191,,,8,8,,,,,238,,112,4,,,,0.4706
FB-TVM,Antananarivo,2020-5-15,,,171,171,,0,0,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-15,,,20,20,,8,8,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-16,,,261,,,45,45,,,,,283,,114,2,,,,0.4028
FB-TVM,Antananarivo,2020-5-16,,,,,,26,26,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-16,,,,,,19,19,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-17,,,103,103,,21,21,,,,,304,,114,0,1,1,,0.3750
FB-TVM,Antananarivo,2020-5-17,,,61,61,,15,15,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-17,,,42,42,,6,6,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-18,,,134,134,,18,18,,,,,322,,119,5,0,1,,0.3696
FB-TVM,Antananarivo,2020-5-18,,,,,,0,0,,,,,,,,,,,,
FB-TVM,Mahajanga,2020-5-18,,,,,,1,1,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-18,,,,,,17,17,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-19,,,61,61,,4,4,,,,,326,,119,0,1,2,,0.3650
FB-TVM,Antananarivo,2020-5-19,,,27,27,,2,2,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-19,,,34,34,,2,2,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-20,,,410,410,,45,45,,,,,371,,131,12,0,2,,0.3531
FB-TVM,Antananarivo,2020-5-20,,,,,,3,3,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-20,,,,,,42,42,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-21,,,312,312,,34,34,,,,,405,,131,0,0,2,,0.3235
